Updated DB with rowEntry : RowEntry{mobileId=2756, sellerId=1, price=27989, availableStatus=1, mobileLink='https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07K5224KH/ref=sr_1_501?qid=1567246565&s=electronics&sr=1-501', newPrice=27289, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2764, sellerId=1, price=8350, availableStatus=1, mobileLink='https://www.amazon.in/Realme-Mirror-Black-32GB-Storage/dp/B07NTPXS5W/ref=sr_1_517?qid=1567246568&s=electronics&sr=1-517', newPrice=8399, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2765, sellerId=1, price=51199, availableStatus=1, mobileLink='https://www.amazon.in/Samsung-Midnight-Storage-Additional-Exchange/dp/B07JMTYMN1/ref=sr_1_520?qid=1567246568&s=electronics&sr=1-520', newPrice=49999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2768, sellerId=1, price=9480, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-5-1-Plus-Blue-RAM/dp/B07NT19R1V/ref=sr_1_528?qid=1567246568&s=electronics&sr=1-528', newPrice=9369, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2772, sellerId=1, price=25999, availableStatus=1, mobileLink='https://www.amazon.in/BlackBerry-Keyone-Bronze-Dual-SIM/dp/B079RLTLK9/ref=sr_1_538?qid=1567246571&s=electronics&sr=1-538', newPrice=25445, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2774, sellerId=1, price=13999, availableStatus=1, mobileLink='https://www.amazon.in/Motorola-XT1900-2-Sterling-Blue-64GB/dp/B07C7NCQPP/ref=sr_1_541?qid=1567246571&s=electronics&sr=1-541', newPrice=13388, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2778, sellerId=1, price=5499, availableStatus=1, mobileLink='https://www.amazon.in/Micromax-C1A-Blue-2GB-16GB/dp/B07RD6J6RH/ref=sr_1_549?qid=1567246571&s=electronics&sr=1-549', newPrice=5199, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2783, sellerId=1, price=7047, availableStatus=1, mobileLink='https://www.amazon.in/Moto-E5-XT1944-Gold-16GB/dp/B07HKLWMFF/ref=sr_1_558?qid=1567246574&s=electronics&sr=1-558', newPrice=7045, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2784, sellerId=1, price=8900, availableStatus=1, mobileLink='https://www.amazon.in/Samsung-Galaxy-J4-Black-Offer/dp/B07DG4V11B/ref=sr_1_559?qid=1567246574&s=electronics&sr=1-559', newPrice=8880, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2785, sellerId=1, price=7599, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-3-1-Black-32GB/dp/B07GRJVZVS/ref=sr_1_560?qid=1567246574&s=electronics&sr=1-560', newPrice=8170, newAvailableStatus=1}
